image_id,label,fold
1000015157.jpg,0,3
1000201771.jpg,3,1
100042118.jpg,1,0
1000723321.jpg,1,3
1000812911.jpg,3,4
1000837476.jpg,3,1
1000910826.jpg,2,4
1001320321.jpg,0,2
1001723730.jpg,4,2
1001742395.jpg,3,2
1001749118.jpg,3,1
100204014.jpg,3,2
1002088496.jpg,1,4
1002255315.jpg,3,4
1002394761.jpg,3,3
1003218714.jpg,2,0
1003298598.jpg,3,0
1003442061.jpg,4,2
1003888281.jpg,0,2
1003987001.jpg,3,2
1004105566.jpg,3,3
1004163647.jpg,3,0
1004389140.jpg,1,3
1004672608.jpg,3,1
100472565.jpg,2,3
1004826518.jpg,2,0
1004881261.jpg,3,4
1005138819.jpg,3,2
1005200906.jpg,2,4
100533489.jpg,2,0
100560400.jpg,4,3
1005695738.jpg,3,0
1005739807.jpg,3,0
100609661.jpg,3,1
1007196516.jpg,3,2
1007246985.jpg,3,0
100731318.jpg,3,2
1007533812.jpg,3,1
1007700625.jpg,3,4
1007891044.jpg,3,4
1008126487.jpg,3,2
1008142548.jpg,1,0
1008244905.jpg,1,3
1008284502.jpg,3,1
1008532311.jpg,3,1
1009037539.jpg,3,1
1009049118.jpg,3,1
1009126931.jpg,4,1
1009148537.jpg,1,4
1009268848.jpg,3,1
1009322597.jpg,3,4
1009361983.jpg,3,2
1009431532.jpg,2,4
1009441020.jpg,3,4
1009462599.jpg,3,0
1009489704.jpg,3,1
1009495847.jpg,3,2
1009704586.jpg,3,1
1009749557.jpg,2,1
1009845426.jpg,3,4
1010470173.jpg,1,1
1010648150.jpg,3,4
1010806468.jpg,4,4
1010855776.jpg,3,0
1010899191.jpg,3,3
1011139244.jpg,3,3
1011422445.jpg,3,3
1011571614.jpg,4,4
1011602291.jpg,2,3
1011858443.jpg,3,3
1011909285.jpg,4,1
1012257169.jpg,4,1
1012305013.jpg,1,3
1012426959.jpg,0,1
101253257.jpg,1,0
1012599090.jpg,3,2
1012623980.jpg,1,4
1012755275.jpg,3,4
1012804587.jpg,1,0
1012902365.jpg,4,4
1013678821.jpg,3,0
1013734375.jpg,3,4
1014087087.jpg,3,2
1014332426.jpg,4,3
1014359226.jpg,2,0
1014365825.jpg,3,2
1014433832.jpg,3,0
1014492188.jpg,1,2
1014810796.jpg,3,4
1014888611.jpg,3,1
1015034348.jpg,3,4
1015143489.jpg,3,2
1015749198.jpg,2,3
1016027375.jpg,1,3
1016258639.jpg,3,4
1016334938.jpg,3,4
1016415263.jpg,1,3
10169000.jpg,1,3
1016955090.jpg,2,4
1017006970.jpg,3,0
101712540.jpg,2,4
1017415426.jpg,4,0
1017667711.jpg,2,0
1017670009.jpg,2,1
1017827385.jpg,4,2
1017890227.jpg,3,1
1018433055.jpg,3,1
1018450745.jpg,1,4
101876866.jpg,3,0
1018973237.jpg,0,4
1019359196.jpg,3,0
1019366633.jpg,4,2
1019398233.jpg,4,2
1019486948.jpg,3,4
101960837.jpg,3,0
1020196137.jpg,3,1
1020245430.jpg,3,3
1020387881.jpg,3,0
102039365.jpg,0,1
1020423203.jpg,3,1
1020636424.jpg,3,1
1020936674.jpg,1,3
1021655183.jpg,2,0
1021758544.jpg,0,0
1022008227.jpg,3,1
1022283943.jpg,3,3
1022307478.jpg,3,4
1022475063.jpg,3,2
1022790491.jpg,3,1
1022850256.jpg,3,1
1022932733.jpg,4,1
1023151050.jpg,3,1
1023663951.jpg,4,3
1023837322.jpg,3,0
1023937437.jpg,3,0
1024067372.jpg,4,4
1024089865.jpg,0,4
1024191493.jpg,3,3
1024367055.jpg,2,1
102447703.jpg,3,4
1024504187.jpg,1,3
102485576.jpg,0,2
1024995071.jpg,3,2
1025060651.jpg,3,2
1025198223.jpg,3,1
1025466430.jpg,2,2
1025492337.jpg,3,2
1025511060.jpg,2,3
1025557405.jpg,3,0
1025616565.jpg,3,3
1025693532.jpg,3,0
1026177105.jpg,2,1
1026467332.jpg,0,1
1026511145.jpg,3,4
1026915452.jpg,1,1
102719039.jpg,3,2
1027550629.jpg,3,0
1027766963.jpg,3,0
